KPI_ID,KPI_NAME,VALUE,PERIOD_START,PERIOD_END,REGION
MHS126,People Waiting,356,01/01/2026,31/03/2026,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,28,01/01/2026,31/03/2026,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,362,01/01/2026,31/03/2026,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,56,01/01/2026,31/03/2026,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
MHS126,People Waiting,142,01/01/2026,31/03/2026,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
MHS131,People Treated,19,01/01/2026,31/03/2026,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,117,01/01/2026,31/03/2026,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,31,01/01/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
MHS126,People Waiting,145,01/01/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
MHS131,People Treated,10,01/01/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,87,01/01/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,34,01/01/2026,31/03/2026,UNKNOWN
MHS126,People Waiting,147,01/01/2026,31/03/2026,UNKNOWN
MHS131,People Treated,14,01/01/2026,31/03/2026,UNKNOWN
MHS132,RTT Performance Percentage,209,01/01/2026,31/03/2026,UNKNOWN
MHS125,People Entering RTT Pathway,*,01/01/2026,31/03/2026,NORTH TYNESIDE COUNCIL
MHS126,People Waiting,*,01/01/2026,31/03/2026,NORTH TYNESIDE COUNCIL
MHS131,People Treated,79,01/01/2026,31/03/2026,NORTH TYNESIDE COUNCIL
MHS132,RTT Performance Percentage,169,01/01/2026,31/03/2026,NORTH TYNESIDE COUNCIL
MHS125,People Entering RTT Pathway,*,01/01/2026,31/03/2026,ROTHERHAM METROPOLITAN BOROUGH COUNCIL
MHS126,People Waiting,*,01/01/2026,31/03/2026,ROTHERHAM METROPOLITAN BOROUGH COUNCIL
MHS131,People Treated,109,01/01/2026,31/03/2026,ROTHERHAM METROPOLITAN BOROUGH COUNCIL
MHS132,RTT Performance Percentage,1102,01/01/2026,31/03/2026,ROTHERHAM METROPOLITAN BOROUGH COUNCIL
MHS125,People Entering RTT Pathway,20,01/01/2026,31/03/2026,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL
MHS126,People Waiting,47,01/01/2026,31/03/2026,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL
MHS131,People Treated,6,01/01/2026,31/03/2026,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL
MHS132,RTT Performance Percentage,25,01/01/2026,31/03/2026,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL
MHS125,People Entering RTT Pathway,*,01/01/2026,31/03/2026,BLACKPOOL BOROUGH COUNCIL
MHS126,People Waiting,*,01/01/2026,31/03/2026,BLACKPOOL BOROUGH COUNCIL
MHS131,People Treated,0,01/01/2026,31/03/2026,BLACKPOOL BOROUGH COUNCIL
MHS132,RTT Performance Percentage,3,01/01/2026,31/03/2026,BLACKPOOL BOROUGH COUNCIL
MHS125,People Entering RTT Pathway,4,01/01/2026,31/03/2026,SHROPSHIRE COUNCIL
MHS126,People Waiting,65,01/01/2026,31/03/2026,SHROPSHIRE COUNCIL
MHS131,People Treated,*,01/01/2026,31/03/2026,SHROPSHIRE COUNCIL
MHS132,RTT Performance Percentage,*,01/01/2026,31/03/2026,SHROPSHIRE COUNCIL
